candidate,tweet_time,tweet_text,tweet_lang
BernieSanders,2016-06-15 20:20:38,RT @DavidFBowen: RSVP to hear Bernie's live video address tomorrow: https://t.co/d3otYjXSIr &gt;Goal always must be something bigger than your…,en
BernieSanders,2016-06-15 16:22:02,We need real reform within the Democratic Party. And that means open primaries.,en
BernieSanders,2016-06-15 14:52:03,The idea that in the State of New York 3 million people could not participate in helping select the Democratic nominee is incomprehensible.,en
BernieSanders,2016-06-15 13:08:02,The political revolution continues. Join us on Thursday to discuss what's next: https://t.co/YXwiHtk1i2,en
BernieSanders,2016-06-15 03:06:17,Thank you to everyone in D.C. who went out to vote and thank you all for your support!,en
BernieSanders,2016-06-15 00:43:06,"We know that one hateful person committed a heinous crime, not an entire people. To blame an entire religion is nothing less than bigotry.",en
BernieSanders,2016-06-14 23:36:05,"These types of weapons, without a doubt, should be banned.",en
BernieSanders,2016-06-14 23:33:06,The idea that weapons designed to do one thing – kill people by the dozens – should be sold and distributed in our country is absurd.,en
BernieSanders,2016-06-14 21:59:04,Vote to help move this country in a different direction. Polls are open until 8 PM. https://t.co/dT4rgujx64,en
BernieSanders,2016-06-14 21:26:07,We must get rid of superdelegates. The fact that we had 400 superdelegates pledged eight months before the first ballot was cast is absurd.,en
BernieSanders,2016-06-14 21:15:04,We have to replace the current DNC leadership. We need someone who vigorously supports bringing people into the political process.,en
BernieSanders,2016-06-14 20:56:04,"This decision ensures that big corporations will not be able to put a price tag on the free flow of ideas.
https://t.co/aQewcUrdHf",en
BernieSanders,2016-06-14 20:39:17,RT @penningtonkm: Join @BernieSanders and tens of thousands of volunteers and supporters for a national address Thursday at 8:30pm ET: http…,en
BernieSanders,2016-06-14 19:11:13,RT @ABCPolitics: WATCH LIVE: @BernieSanders holds press conference in Washington D.C. https://t.co/5VGIYIGv44 https://t.co/cqJ556K3D6,en
BernieSanders,2016-06-14 18:47:07,"We know that one hateful person committed this terrible crime — not an entire people or an entire religion. 
https://t.co/emr7EPkQr4",en
BernieSanders,2016-06-14 16:49:07,The political revolution continues. Bernie will address supporters on Thursday. Sign up for the live stream: https://t.co/DotMViqQnq,en
BernieSanders,2016-06-14 16:39:05,Everyone who votes in the D.C. primary will make a difference. Do you have a voting plan today? https://t.co/dtbBI5X3nv,en
BernieSanders,2016-06-14 15:06:32,"Nevada – send the message today that yes, we are going to move this country in a progressive direction. Go vote.  https://t.co/WGkai4Y3yW",en
BernieSanders,2016-06-14 14:07:28,"RT @Marcy_Kaptur: Thank you @BernieSanders. Honored to fight alongside you against NAFTA, Iraq war, and the Wall Street Bailout.   https://…",en
BernieSanders,2016-06-14 12:39:05,"Make our country work for everyone, not just a handful of billionaires. Let’s bring it home. Washington, D.C. – go vote. #FeelTheBern",en
BernieSanders,2016-06-14 01:54:58,"My plan: break up big banks, close tax loopholes and make them pay their fair share. Then we can expand health care and make college free.",en
BernieSanders,2016-06-13 23:56:10,"RT @LaurenBlanch12: . @BernieSanders stands with faith leaders of Burlington, VT. Event organized by Pride Center of Vermont https://t.co/L…",en
BernieSanders,2016-06-13 23:55:57,"RT @JackNECN: &gt;@BernieSanders tells hometown crowd ""one hateful person committed this crime -- not an entire religion."" #VT https://t.co/Ox…",en
BernieSanders,2016-06-13 21:12:06,"Washington, D.C. – On Tuesday, June 14, you will have the chance to stand up and be heard. https://t.co/7EDOnzjv1o",en
BernieSanders,2016-06-13 19:23:07,It is an embarrassment that some politicians refuse to recognize the reality of climate change.,en
BernieSanders,2016-06-13 17:02:08,"No president can do it alone. That's why I'm endorsing progressives Rep. @RepMarcyKaptur and Rep. @RickNolanmn.
https://t.co/cJ2qSwDr56",en
BernieSanders,2016-06-13 15:07:32,"Washington, D.C.'s primary takes place tomorrow, June 14 – the last one of this presidential nominating process.
https://t.co/Q7xCvTBkuZ",en
BernieSanders,2016-06-13 13:06:01,"It is morally wrong that Washington, D.C.'s residents lack voting representation in Congress.
https://t.co/7YhCiqcRQD",en
BernieSanders,2016-06-13 01:58:31,"From what is now known, this was a terrorist act by an ISIS sympathizer. That despicable and barbaric organization must be destroyed.",en
BernieSanders,2016-06-12 18:57:13,"All Americans are horrified, disgusted and saddened by the horrific atrocity in Orlando. Full statement: https://t.co/ci5kxXKSyZ",en
BernieSanders,2016-06-12 14:08:03,"RT @NBCNewsPR: ""It's horrific, it's unthinkable,"" says @BernieSanders on #OrlandoShooting this morning on @MeetThePress. #MTP #Orlando",en
BernieSanders,2016-06-12 01:02:05,"Some of us believe that what God teaches is to not turn our backs on our brothers and our sisters, that essentially we are in this together.",en
BernieSanders,2016-06-11 22:26:04,"Our economy works for Wall Street because it’s rigged by Wall Street. As long as Washington's bought, our economy won't work for the people.",en
BernieSanders,2016-06-11 20:35:07,Universal health care is an idea that has been supported by Democratic presidents going back to Franklin Roosevelt and Harry Truman.,en
BernieSanders,2016-06-11 17:47:01,"We must lead the world in working with China, Russia, India and the international community to break our energy dependence on fossil fuel.",en
BernieSanders,2016-06-11 15:22:06,"Millions of lives are being wrecked, families are being torn apart and we are spending huge sums of taxpayer money by locking people up.",en
BernieSanders,2016-06-11 13:21:03,"We must not succumb to bigotry. We must do what we do best as Americans – fight racism, fight xenophobia and fight fear.",en
BernieSanders,2016-06-11 01:02:01,"A job must lift workers out of poverty, not keep them in it. The current federal minimum wage of $7.25 an hour is a starvation wage.",en
BernieSanders,2016-06-10 23:32:04,We cannot continue to send our jobs to China and other low-wage countries when millions of Americans need work.,en
BernieSanders,2016-06-10 22:16:07,"More than one-third of our senior citizens rely on Social Security for virtually all of their income. We must expand benefits, not cut them.",en
BernieSanders,2016-06-10 22:01:21,RT @CNNSotu: This Sunday on #CNNSOTU: @BernieSanders joins @jaketapper just days after meeting with President Obama. https://t.co/yUh9VW96Cr,en
BernieSanders,2016-06-10 20:46:04,We must end the over-incarceration of nonviolent Americans in our country.,en
BernieSanders,2016-06-10 19:00:38,"Instead of cutting head start and childcare, we need to move to a universal pre-K system for all children. https://t.co/cFyFwA09Vb",en
BernieSanders,2016-06-10 16:55:15,RT @GunnelsWarren: I don’t think that we can amend or tinker around the edges with the Trans-Pacific Partnership. We need to kill it. https…,en
BernieSanders,2016-06-10 16:22:54,It is not good enough to talk about public education being kindergarten to 12th grade anymore. We need to make public colleges tuition-free.,en
BernieSanders,2016-06-10 14:01:42,"Our job is to bring the American people together to create a government that works for us, not the 1 percent.",en
BernieSanders,2016-06-09 23:10:31,"RT @cspan: .@BernieSanders campaigns in Washington, DC – LIVE shortly on C-SPAN3 https://t.co/JndHhNdEbe https://t.co/2k4HH3Ud9A",en
BernieSanders,2016-06-09 16:27:05,But you all know it is more than Bernie Sanders. It is all of us together. Millions of people from coast to coast coming together.,en
BernieSanders,2016-06-09 14:48:04,"When millions of Americans are working longer hours for lower wages, we won't allow 57 percent of all new income to go to the top 1 percent.",en
BernieSanders,2016-06-09 14:46:54,I'm horrified by yesterday's terrorist attack in Tel Aviv. My thoughts are with the victims' families and all of those harmed.,en
BernieSanders,2016-06-09 13:06:05,The American people know that it is not acceptable that the top tenth of 1 percent owns as much wealth as the bottom 90 percent.,en
BernieSanders,2016-06-09 01:22:05,Our mission is more than just defeating Trump. It is transforming our country. People want something to vote for rather than just against.,en
BernieSanders,2016-06-08 23:12:06,The American people will never support a candidate whose major theme is bigotry. We will not allow Donald Trump to become president.,en
BernieSanders,2016-06-08 21:02:05,We will not allow right-wing Republicans to control our government. That is especially true with Donald Trump as the Republican candidate.,en
BernieSanders,2016-06-08 19:56:01,"Young people understand that they are the future of America, and they intend to help shape that future.",en
BernieSanders,2016-06-08 18:41:06,"We have won 22 state elections with over 11 million votes and in virtually every state, we've won in big numbers the votes of young people.",en
BernieSanders,2016-06-08 17:57:33,"When we began this campaign we were considered to be a fringe campaign. Over the last year, I think that has changed just a little bit.",en
BernieSanders,2016-06-08 14:57:17,"We must always remember that change almost never happens from the top down, it happens from the bottom up.",en
BernieSanders,2016-06-08 06:09:45,"We are in this TOGETHER. Thank you New Mexico, California, South Dakota, North Dakota, New Jersey and Montana! #NotMeUs",en
BernieSanders,2016-06-08 06:07:49,Montana – Thank you all. The struggle continues! https://t.co/NM2H80ZEGG,en
BernieSanders,2016-06-08 05:44:28,RT @MSNBC: WATCH LIVE: Bernie Sanders addresses California supporters on primary night https://t.co/Boajkfc2D7 #Decision2016,en
BernieSanders,2016-06-08 03:00:54,Thank you to the thousands of supporters who came out to vote for the political revolution in New Jersey today!,en
BernieSanders,2016-06-08 02:35:55,Thank you North Dakota! https://t.co/1FMVeH7GMh,en
BernieSanders,2016-06-07 23:07:12,You still have time to run to your voting location before polls close. Get out and vote! #PrimaryDay https://t.co/e4k48x9Qth,en
BernieSanders,2016-06-07 22:51:34,"We need your help to win in CA, ND, SD, MT, NJ and NM today! Make calls to voters now: https://t.co/aTpBHlAr7O",en
BernieSanders,2016-06-07 22:31:08,"North Dakota: today we caucus. Get to your caucus by 7 pm. If there's a large voter turnout, we will win. Join history in the making.",en
BernieSanders,2016-06-07 21:48:34,"Mis profundas condolencias a la familia Chávez ante el fallecimiento de Helen Chávez, gran líder y defensora de los trabajadores del campo.",es
BernieSanders,2016-06-07 21:33:20,"My profound condolences to the Chávez family on the passing of Helen Chávez, great leader and activist for farmworker's rights. #SiSePuede",en
BernieSanders,2016-06-07 20:26:02,Defy the pundits again and reach for a high voter turnout that'll shock the establishment. Grab your friends and go vote. #PrimaryDay,en
BernieSanders,2016-06-07 19:29:04,I'm asking you to support strong progressive allies like @EricKingsonNY and @Clem4Congress. Help elect them: https://t.co/hNvGMCUEfe,en
BernieSanders,2016-06-07 18:49:07,California: Hoy el establecimiento no podrá ignorar tu voz. Vota por nuestro movimiento. ¿Preguntas? Llámanos. https://t.co/Nz9Og9PRwE,es
BernieSanders,2016-06-07 18:29:08,California: send the establishment a message they can’t ignore. Vote for our movement. Questions? Call our hotline. https://t.co/vR3GTV2yUV,en
BernieSanders,2016-06-07 16:40:22,"California, Montana, New Jersey, New Mexico, South Dakota and North Dakota – your turn to vote for the revolution! https://t.co/cyqk7tRNxR",en
BernieSanders,2016-06-07 15:32:03,Pundits and the political press wanna call this race early before every person votes. Let's show them we ain't gonna let it happen. Go vote.,en
BernieSanders,2016-06-07 14:56:07,"California – today you can send a message that this country belongs to all of us, not just a handful of billionaires. Go vote. #PrimaryDay",en
BernieSanders,2016-06-07 14:18:38,Montana: your polls are open. Don't settle for a rigged economy held in place by a corrupt campaign finance system. Vote Bernie! #PrimaryDay,en
BernieSanders,2016-06-07 13:25:05,"New Mexico – your polls are open until 7 PM. Go out and vote for REAL CHANGE, not the same old, same old establishment politics. #PrimaryDay",en
BernieSanders,2016-06-07 12:34:53,South Dakota and New Jersey – your polls are open. Show the country that it is too late for establishment politics. Please go vote.,en
BernieSanders,2016-06-07 02:09:08,"California – you vote tomorrow, June 7. Questions or issues? Call or email our hotline. https://t.co/imRyCL6lF6",en
BernieSanders,2016-06-07 01:04:02,"CA, MT, NJ, NM, SD and ND: are you ready to vote tomorrow? Find your voting location: https://t.co/QvV30FsiaA",en
BernieSanders,2016-06-07 00:03:34,I am running for president because it is too late for establishment politics and too late for establishment economics. We need real change.,en
BernieSanders,2016-06-06 21:56:02,Ready for a political revolution? Get out and vote tomorrow! Text VOTE to 82623 for voting information. https://t.co/0nUN8V97fV,en
BernieSanders,2016-06-06 20:23:05,"We must recreate our criminal justice system, but we cannot do that as long as corporations are allowed to profit from mass incarceration.",en
BernieSanders,2016-06-06 20:17:57,RT @SymoneDSanders: LIVE on #Periscope: Community Conversation with Dr West and Danny Glover https://t.co/2wJwI59cPP,en
BernieSanders,2016-06-06 18:54:05,We need bold change in our criminal justice system. A good first step forward is to start treating prisoners as human beings.,en
BernieSanders,2016-06-06 17:23:05,Ramadan Mubarak to all our Muslim sisters and brothers.,en
BernieSanders,2016-06-06 15:58:35,"With so much violence already in the world, I just don't think the state itself should be killing people. I'm against capital punishment.",en
BernieSanders,2016-06-06 13:51:22,"California, Montana, New Jersey, New Mexico, South Dakota and North Dakota – you vote tomorrow, June 7. Make a plan: https://t.co/ZaoGzRsqPk",en
BernieSanders,2016-06-06 13:40:36,"RT @brooklynyarn: We've just been added to this event on June 6th in San Francisco! @BernieSanders, @davematthewsbnd &amp; more! https://t.co/O…",en
BernieSanders,2016-06-06 03:03:05,Raids are not the answer. We cannot continue to employ inhumane tactics involving rounding up and deporting thousands of immigrant families.,en
BernieSanders,2016-06-06 01:47:02,"It's irresponsible that my opponent justifies sending children back to terribly violent countries as a way to ""send a message.""",en
