,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
moscow,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
budgetCuts,0,1,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
taxBreak,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
economy,0,0,1,0,0,0,2,1,3,0,0,0,0,0,0,0,3,0,3,0,2,0,0,1,3,0,0,0,2,0,1,4,1,0,1,0,0,0,0,0,1,1,0,0,2,0,2,0,0
jobs,0,0,2,0,0,0,8,3,3,0,0,0,0,3,0,0,2,0,6,0,0,0,0,3,11,1,0,5,0,0,1,0,1,0,1,6,4,0,0,0,5,0,1,0,0,1,1,0,0
autoManufacturing,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
business,0,0,0,6,0,2,2,2,3,0,0,0,0,16,0,2,0,0,6,0,0,1,2,0,8,0,0,0,0,0,4,16,0,0,0,0,0,1,0,6,0,1,1,0,4,0,8,0,0
wallstreet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
stocks ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
investors ,0,0,1,0,0,0,3,0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0
smallBusinessConfidence,0,0,0,4,0,2,3,2,2,0,0,0,3,16,0,2,0,0,6,0,1,0,2,0,14,0,0,0,0,0,4,21,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0
tradeDeficit,1,0,1,2,1,0,6,5,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,47,1,2,0,0,0,15,0,0,2,0,4,0,0,2,0,0,2,0
tradingPartners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transPacificPartnership,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
freeTrade,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tariff,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
climateChange,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,4,0,2,5,19,0,0,6,1,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2
environment,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,7,3,0,0,0,7,1,0,0,5,0,2,0,1,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0
environmentalRegulation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
parisAccord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2
administration,0,0,1,1,1,0,1,0,0,1,2,2,2,2,1,0,3,1,2,4,1,1,2,3,6,4,0,2,1,1,4,1,3,1,0,1,2,0,0,3,0,1,0,3,2,17,5,3,0
campaign,1,0,0,0,2,0,0,1,2,1,1,0,0,3,0,4,2,2,9,0,0,3,1,0,6,4,0,1,0,3,0,0,2,0,0,0,1,1,0,0,3,2,1,0,0,2,1,2,3
election,0,0,1,0,0,0,0,0,2,0,3,0,5,7,0,0,5,0,1,0,2,7,1,0,1,4,0,0,0,0,0,3,0,0,1,0,0,0,0,1,2,0,0,0,8,0,1,0,1
email,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,30,1,0,1,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
media,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
money,0,0,4,0,7,3,0,0,11,0,0,4,0,1,8,0,1,4,0,0,0,0,0,0,1,0,0,0,0,4,0,1,1,0,0,0,0,1,0,3,0,0,1,0,1,6,1,0,1
regulation,3,0,2,1,1,1,5,5,8,0,1,0,0,4,0,0,4,0,7,8,2,1,0,12,3,0,0,7,6,0,0,6,1,0,0,0,2,3,4,1,1,2,1,1,6,6,9,0,5
secretary,0,0,2,0,1,1,0,1,1,0,0,0,1,3,0,2,0,1,0,0,1,0,0,1,5,0,18,1,1,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,2,0
tweet,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,1,0,0,3,0,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0
twitter,0,2,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
